
COORDINATES ARE EAST,NORTH,UP.
stress tensors are:
X Y See Sen Seu Snn Snu Suu
  0  52  0.880185 -0.686037 -0.127514  0.052857 -0.071101 -0.933043
  0  53  0.880185 -0.686037 -0.127514  0.052857 -0.071101 -0.933043
  0  54  0.833173 -0.639987 -0.182010  0.201341  0.014778 -1.034514
  0  55  0.901458 -0.548424 -0.229452  0.357795  0.004084 -1.259252
  0  56  0.796916 -0.522265 -0.277927  0.437155  0.012033 -1.234071
  0  57  0.821353 -0.467324 -0.398993  0.292571 -0.106689 -1.113924
  0  58  0.817738 -0.437702 -0.497400  0.261202 -0.171565 -1.078940
  0  59  0.807830 -0.297138 -0.320695  0.169243 -0.169918 -0.977072
  0  60  0.858056 -0.192488 -0.244463  0.166498 -0.261545 -1.024554
  0  61  0.889144 -0.294579 -0.333839  0.092410 -0.166372 -0.981554
  0  62  0.917021 -0.224319 -0.299056  0.121317 -0.011159 -1.038338
  0  63  0.846442 -0.269439 -0.253688  0.218033  0.014457 -1.064474
  0  64  0.856518 -0.219579 -0.190847  0.217126  0.040424 -1.073644
  0  65  0.831651 -0.176634 -0.197868  0.251165  0.053435 -1.082816
  0  66  0.783267 -0.217587 -0.255975  0.283775  0.067708 -1.067041
  0  67  0.764776 -0.198151 -0.230551  0.312375  0.094209 -1.077151
  0  68  0.778894 -0.219074 -0.213282  0.291626  0.115420 -1.070520
  0  69  0.710759 -0.273923 -0.116707  0.326694  0.181735 -1.037453
  0  70  0.752480 -0.357904 -0.187806  0.197414  0.101951 -0.949895
  0  71  0.740923 -0.316397 -0.209858  0.241895  0.148165 -0.982818
  0  72  0.760182 -0.297624 -0.144545  0.228081  0.175461 -0.988263
  0  73  0.753356 -0.362853 -0.158029  0.190743  0.184244 -0.944100
  0  74  0.820326 -0.327057 -0.242274  0.115943  0.204078 -0.936270
  0  75  0.812626 -0.368084 -0.222707  0.103474  0.221958 -0.916099
  0  76  0.835368 -0.311232 -0.242255  0.061906  0.238581 -0.897275
  0  77  0.831751 -0.286507 -0.212013  0.058167  0.207591 -0.889918
  0  78  0.862155 -0.285508 -0.253189  0.036288  0.192160 -0.898442
  0  79  0.892217 -0.354786 -0.245276 -0.011701  0.167747 -0.880516
  0  80  0.869999 -0.392079 -0.277863  0.008716  0.136790 -0.878715
  0  81  0.883903 -0.409109 -0.267202  0.015907  0.118048 -0.899809
  0  82  0.903040 -0.441256 -0.259777 -0.026724  0.093443 -0.876316
  0  83  0.899536 -0.436420 -0.266089 -0.022290  0.088182 -0.877246
  0  84  0.925056 -0.444714 -0.308678 -0.050668  0.056079 -0.874387
  0  85  0.923602 -0.431569 -0.275739 -0.026482  0.093489 -0.897120
  0  86  0.948925 -0.441459 -0.275837 -0.081301  0.072449 -0.867625
  0  87  0.947696 -0.466792 -0.328791 -0.091450  0.061746 -0.856246
  0  88  0.973036 -0.410020 -0.332438 -0.131561  0.007838 -0.841474
  0  89  0.916797 -0.458922 -0.302759 -0.051212  0.000910 -0.865585
  0  90  0.929229 -0.399068 -0.234734 -0.048937  0.037818 -0.880292
  0  91  0.905196 -0.461505 -0.144330 -0.015363 -0.063591 -0.889833
  0  92  0.899601 -0.526499 -0.162620 -0.008684 -0.023063 -0.890917
  0  93  0.879592 -0.549700 -0.144322 -0.037422 -0.024831 -0.842169
  0  94  0.874495 -0.501608 -0.143445 -0.004175 -0.009407 -0.870320
  0  95  0.942040 -0.434259 -0.041189 -0.089670  0.025164 -0.852370
  0  96  0.944625 -0.411394  0.054767 -0.112905  0.061151 -0.831720
  0  97  0.972866 -0.321902 -0.036847 -0.197391  0.074099 -0.775475
  0  98  0.997005 -0.322662 -0.000817 -0.223833  0.045206 -0.773172
  0  99  0.959698 -0.407693 -0.041313 -0.195976 -0.045739 -0.763722
  0 100  0.946433 -0.377794 -0.080557 -0.161484 -0.031283 -0.784949
  0 101  0.889597 -0.451880 -0.066443 -0.123160 -0.036298 -0.766437
  0 102  0.898784 -0.468094 -0.030764 -0.112659 -0.075732 -0.786124
  0 103  0.841405 -0.512662 -0.002041 -0.018702 -0.074584 -0.822703
  0 104  0.839495 -0.511019 -0.004521 -0.002234 -0.063358 -0.837262
  0 105  0.875470 -0.489957 -0.086449 -0.034623 -0.038718 -0.840848
  0 106  0.889357 -0.484981 -0.139646 -0.048650 -0.019716 -0.840707
  0 107  0.906072 -0.494174 -0.150136 -0.082318 -0.062419 -0.823755
  0 108  0.921973 -0.497371 -0.149325 -0.103298 -0.050951 -0.818675
  0 109  0.885316 -0.519613 -0.188056 -0.099008 -0.075132 -0.786308
  0 110  0.898011 -0.498112 -0.180229 -0.094162 -0.041908 -0.803849
  0 111  0.890663 -0.526201 -0.182799 -0.094830 -0.061124 -0.795834
  0 112  0.833628 -0.544065 -0.226604  0.020601 -0.020567 -0.854229
  0 113  0.845116 -0.548417 -0.250405  0.014868 -0.006917 -0.859983
  0 114  0.858609 -0.528476 -0.258962  0.018291  0.035958 -0.876899
  0 115  0.855815 -0.557594 -0.253971  0.015359  0.040174 -0.871174
  0 116  0.891515 -0.523829 -0.271562 -0.003850  0.048447 -0.887665
  0 117  0.850561 -0.537286 -0.326833  0.019902  0.069000 -0.870463
  0 118  0.884469 -0.531139 -0.336022 -0.036618  0.105560 -0.847851
  0 119  0.896740 -0.528773 -0.345271 -0.061448  0.098551 -0.835292
  0 120  0.885202 -0.567889 -0.304065 -0.056168  0.079465 -0.829034
  0 121  0.856683 -0.596164 -0.273709 -0.006023  0.076694 -0.850660
  0 122  0.748774 -0.605012 -0.286490  0.162171  0.137459 -0.910945
  0 123  0.724362 -0.597230 -0.300924  0.158142  0.195047 -0.882504
